Project_ID,Project_Type,Location_Type,Planned_Budget_Millions,Actual_Cost_Millions,Cost_Overrun_Millions,Overrun_Percentage,Planned_Duration_Months,Actual_Duration_Months,Delay_Months,Primary_Cause_of_Overrun
PRJ-0001,Commercial,Suburban,16.37,17.78,1.41,8.64,21,32,11,Site Conditions
PRJ-0002,Industrial,Urban,135.48,146.32,10.84,8.0,11,12,1,Labor Shortage
PRJ-0003,Infrastructure,Urban,76.28,101.99,25.71,33.7,13,22,9,Weather Delays
PRJ-0004,Commercial,Suburban,124.14,127.34,3.2,2.58,30,32,2,Labor Shortage
PRJ-0005,Residential,Suburban,48.69,52.76,4.07,8.36,23,28,5,Design Errors
PRJ-0006,Residential,Urban,134.43,142.76,8.33,6.2,30,41,11,Weather Delays
PRJ-0007,Residential,Urban,58.99,83.16,24.17,40.98,17,26,9,Material Price Escalation
PRJ-0008,Industrial,Suburban,2.61,3.01,0.4,15.42,20,26,6,Material Price Escalation
PRJ-0009,Infrastructure,Urban,135.9,166.29,30.39,22.36,31,31,0,Site Conditions
PRJ-0010,Infrastructure,Urban,14.6,19.68,5.08,34.78,46,57,11,Weather Delays
PRJ-0011,Residential,Urban,48.58,56.74,8.16,16.8,31,40,9,Scope Creep
PRJ-0012,Industrial,Suburban,142.56,160.17,17.61,12.35,37,53,16,Weather Delays
PRJ-0013,Infrastructure,Suburban,142.64,182.21,39.57,27.74,15,20,5,Design Errors
PRJ-0014,Residential,Urban,86.44,111.44,25.0,28.92,21,29,8,Scope Creep
PRJ-0015,Residential,Suburban,95.14,103.35,8.21,8.63,12,18,6,Material Price Escalation
PRJ-0016,Residential,Urban,67.82,76.96,9.14,13.48,22,35,13,Weather Delays
PRJ-0017,Commercial,Urban,44.69,50.99,6.3,14.09,28,33,5,Labor Shortage
PRJ-0018,Commercial,Suburban,49.97,47.47,-2.5,-5.0,31,36,5,Site Conditions
PRJ-0019,Commercial,Suburban,101.21,97.99,-3.22,-3.18,26,33,7,Labor Shortage
PRJ-0020,Residential,Suburban,113.1,148.61,35.51,31.4,27,35,8,Site Conditions
PRJ-0021,Infrastructure,Suburban,118.95,175.44,56.49,47.49,12,19,7,Design Errors
PRJ-0022,Residential,Urban,118.65,138.5,19.85,16.73,19,26,7,Labor Shortage
PRJ-0023,Residential,Urban,14.59,18.54,3.95,27.07,20,32,12,Weather Delays
PRJ-0024,Commercial,Urban,74.67,92.13,17.46,23.38,12,13,1,Weather Delays
PRJ-0025,Commercial,Urban,9.58,14.98,5.4,56.35,14,24,10,Labor Shortage
PRJ-0026,Infrastructure,Urban,82.88,117.66,34.78,41.96,13,18,5,Weather Delays
PRJ-0027,Residential,Rural,66.79,75.78,8.99,13.46,28,39,11,Design Errors
PRJ-0028,Commercial,Urban,133.27,142.11,8.84,6.63,34,34,0,Scope Creep
PRJ-0029,Commercial,Suburban,53.29,51.01,-2.28,-4.28,23,24,1,Design Errors
PRJ-0030,Residential,Suburban,18.44,21.66,3.22,17.44,36,44,8,Site Conditions
PRJ-0031,Infrastructure,Suburban,22.31,26.67,4.36,19.54,35,49,14,Design Errors
PRJ-0032,Residential,Urban,114.47,120.89,6.42,5.61,44,48,4,Site Conditions
PRJ-0033,Residential,Urban,93.11,103.8,10.69,11.48,40,42,2,Weather Delays
PRJ-0034,Industrial,Urban,16.07,16.98,0.91,5.65,23,37,14,Scope Creep
PRJ-0035,Industrial,Urban,13.53,19.09,5.56,41.11,47,48,1,Weather Delays
PRJ-0036,Infrastructure,Suburban,105.44,142.0,36.56,34.67,44,44,0,Material Price Escalation
PRJ-0037,Commercial,Urban,11.84,13.86,2.02,17.06,22,30,8,Weather Delays
PRJ-0038,Residential,Urban,123.46,167.54,44.08,35.7,19,24,5,Site Conditions
PRJ-0039,Infrastructure,Suburban,106.23,136.07,29.84,28.09,36,38,2,Weather Delays
